GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
PSD2,0.2564653694,0.2647564369,0.0,0.0,0.7268265037,0.3223360668,0.34477674,0.4890102056,0.3005214153
RAB15,0.3656953311,0.1084082024,0.0,0.010131505317986012,0.4318755025,0.4547942123,0.373003526,0.6354839305,0.2974240263
GALNT13,0.2442202906,0.3151708168,0.0,0.14141623675823212,0.4376655511,0.2764151626,0.4078817868,0.5370869564,0.2949821001
MOGS,0.3148806313,0.3420360117,0.0,0.08460542559623718,0.6973962538,0.3404267192,0.222657886,0.3547729927,0.29459699
TMED5,0.6557952314,0.1004126517,0.0,0.008008970879018307,0.4380732928,0.4888485017,0.1859965627,0.4155688127,0.286588003
HSP90AA1,0.4317633945,0.7474190603,0.0,0.02304108627140522,0.2003944882,0.3761756384,0.1183845163,0.3789274188,0.2845132003
B3GNTL1,0.4830087048,0.3121178007,0.0,0.0,0.3729779703,0.584461067,0.1610440927,0.3525961469,0.2832757228
GALNT5,0.5433532877,0.2769987591,0.0,0.012953476049005985,0.2162235184,0.3342655062,0.3504312422,0.5300937129,0.2830399378
PIGK,0.533005521,0.3185525621,0.0,0.0,0.3536423765,0.5014839228,0.1552060768,0.3960156685,0.282238266
STX6,0.5308945535,1.0,0.0,0.0033148229122161865,0.2095746261,0.1320138617,0.087516109,0.2830714413,0.2807981768
PIGG,0.6766015745,0.3959831355,0.0,0.20709529519081116,0.3171302218,0.216619291,0.1059344417,0.3264009209,0.2807206101
MGAT2,0.3588687657,0.0974772698,0.0,0.0,0.3322208479,0.5575215253,0.3749547723,0.5224814236,0.2804405756
RBSN,0.5970798994,0.1233461216,1.0,0.04290546476840973,0.1753329234,0.2394689309,0.0,0.0609785824,0.2798889903
RALBP1,0.4483679271,0.0828294849,0.0,0.14846070110797882,0.3272381649,0.5592515865,0.2092275152,0.4182294489,0.2742006036
OCRL,0.7767595712,0.5807366576,0.0,0.08139181137084961,0.3755375861,0.0639622462,0.1018026403,0.2114705924,0.2739576381
ERP29,0.3137162043,0.0175133271,0.0,0.006787779275327921,0.4562101611,0.4874746093,0.349643226,0.5590009319,0.2737932799
MICALL2,0.6670049791,0.1663129743,0.0,0.09913475066423416,0.2064480792,0.2088440425,0.3612217063,0.4810397753,0.2737507884
NAPB,0.4181161056,0.1049574655,0.0,0.0,0.3685738755,0.405617372,0.340471571,0.5515058885,0.2736552848
ALG3,0.446624117,0.3025358684,0.0,0.38060566782951355,0.2897513967,0.3363962561,0.0892174227,0.3209765425,0.2707634089
KDELR3,0.4458443744,0.1849194122,0.0,0.0,0.2647218345,0.4299969688,0.2546105111,0.5722109171,0.2690380023
DERL1,0.2143619852,0.267771964,0.0,0.025202462449669838,0.3955994282,0.4318938828,0.3434767329,0.473821443,0.2690159873
TBC1D7,0.2367379854,0.8196319496,0.0,0.00511772558093071,0.463723634,0.2957429745,0.0003949022,0.3041534899,0.2656878326
RAB41,0.341578196,0.0386590591,0.0,0.0,0.5274269523,0.7287355526,0.1237068476,0.3599312871,0.2650047368
AP3M2,0.3853924011,0.4036171944,0.0,0.07206645607948303,0.1944871624,0.2437998147,0.3704596402,0.4270273651,0.2621062542
OSGIN2,0.1593347661,0.3381961064,0.0,0.0,0.3258451298,0.635063515,0.1625263832,0.4753187755,0.2620355845
DDOST,0.1486928019,0.5988775869,0.0,0.0,0.4252690992,0.5072686919,0.0944865599,0.3199117709,0.2618133138
EXOC6B,0.5788271601,0.1810111607,1.0,0.01397782564163208,0.1201702904,0.1840628082,0.0,0.0112737737,0.2611653773
PIK3CA,0.1892306592,0.3185162159,0.0,0.0,0.1921580832,0.4402737373,0.3964566553,0.5502462855,0.2608602046
RAB11FIP5,0.2083682356,0.3446968743,0.0,0.12295128405094147,0.4383323498,0.5017153542,0.1409266612,0.3211636172,0.259769297
VAMP3,0.124576247,0.1945521906,0.0,0.23671717941761017,0.4127313098,0.485121909,0.2212069148,0.3984987228,0.2591755592
TBC1D16,0.7089966001,0.1873546815,0.0,0.03844945877790451,0.2710168041,0.2873040027,0.2294522644,0.3411376476,0.2579639324
STX18,0.2044521744,0.1143877911,0.0,0.04371263086795807,0.573643371,0.5261865648,0.1857683376,0.4139643921,0.2577644077
DOCK5,0.3373468733,0.030929671,0.0,0.2609822750091553,0.1873019315,0.4026998407,0.3610786785,0.4728349813,0.2566467814
RAB8A,0.2990638153,0.1079917361,0.0,0.08493269979953766,0.4339884291,0.4464746675,0.2739733172,0.4055354258,0.2564950113
KIF23,0.188821758,0.0884370073,0.0,0.024756284430623055,0.3084180714,0.5973158361,0.3310126417,0.4924506953,0.2539015368
ARHGEF1,0.2592240218,0.0524771003,0.0,0.26670387387275696,0.4681320746,0.4309404898,0.1651204134,0.3864690284,0.2536333753
STX7,0.1263616485,0.0623237714,1.0,0.023628270253539085,0.3265141672,0.2376670382,0.0,0.201495053,0.2472487436
AP3B2,0.2774669691,0.2271297291,0.0,0.20895840227603912,0.1996907536,0.3289191774,0.261778039,0.4686161674,0.2465699047
ARHGAP1,0.4083635898,0.0369247985,0.0,0.26552897691726685,0.4972737234,0.4497478448,0.0020574218,0.3113071192,0.2464004343
PIGQ,0.4236757836,0.14199063,0.0,0.010840224102139473,0.397402578,0.3985780154,0.1594426145,0.4196778077,0.2439509567
DNAJB11,0.6387594814,0.0988211579,0.0,0.5092602968215942,0.2910228508,0.1579196155,0.0192897826,0.226575007,0.242706024
GALNT11,0.5631060679,0.0983304614,0.0,0.13351935148239136,0.5717930311,0.1385821779,0.1448160275,0.2888880147,0.2423793915
RAB7A,0.3547720724,0.0,0.0,0.09187758713960648,0.5526426097,0.5017009046,0.0495451215,0.3857846212,0.2420403646
RAB3IL1,0.312949741,0.0,0.0,0.007845962420105934,0.2960501848,0.4135048193,0.4193579201,0.4616914844,0.238925014
NAPA,0.4234310016,0.1386969668,0.0,0.04093034565448761,0.3481927939,0.2230626662,0.3170792683,0.4145159673,0.2382386262
ASAP1,0.3314615507,0.5509575272,0.0,0.3026774823665619,0.1759398592,0.3270890471,0.0,0.2155040473,0.2379536892
TBC1D10C,0.3234376825,0.3075045505,0.0,0.03958678990602493,0.1881470402,0.51670906,0.1321710687,0.3838058738,0.2364202582
PSD3,0.3660898316,0.1226892083,0.0,0.0,0.2351849963,0.3545584422,0.2948456698,0.5016187415,0.2343733612
RAB11FIP3,0.3365325916,0.4211308706,0.0,0.07070103287696838,0.1118364768,0.4399837275,0.1508690265,0.3415736445,0.2340784213
RAB6B,0.1686440918,0.2704565223,0.0,0.0,0.223974634,0.6281124591,0.1913221892,0.3829958602,0.2331882196
TBC1D14,0.419858141,0.5174284723,0.0,0.016184546053409576,0.1675087179,0.4665262747,0.0023337799,0.2733497812,0.2328987141
HSPA8,0.383731566,0.7187457969,0.0,0.565821647644043,0.030792143,0.1165268593,0.0,0.0338340099,0.2311815028
DNAJC1,0.2231570129,0.6299557625,0.0,0.23512855172157288,0.1443058111,0.3404922885,0.0811006336,0.1867624712,0.2301128164
PIGZ,0.2925763314,0.3348641973,0.0,0.02690921537578106,0.2121710077,0.4968469171,0.1560670323,0.2975829145,0.227127202
SAR1A,0.3561805381,0.4359173357,0.0,0.0,0.3161331086,0.3608691977,0.0759056188,0.2636679921,0.2260842239
QSOX2,0.4057258705,0.2319583993,0.0,0.18955256044864655,0.3598657284,0.1642934354,0.1193388602,0.3346851975,0.2256775065
TBC1D8,0.2464837434,0.6991774131,0.0,0.18803837895393372,0.0812929323,0.1395619988,0.21182903,0.2302576674,0.2245801455
TMED2,0.356116295,0.0773246163,0.0,0.21017906069755554,0.3997199499,0.420048915,0.0342412493,0.2954077963,0.2241297353
HSPA2,0.8295392776,0.3854944731,0.0,0.2068995088338852,0.0261380916,0.0307262023,0.1491008018,0.1516282609,0.222440827
RNF5,0.1707743878,0.1463377256,0.0,0.007995913736522198,0.5933664318,0.4390480594,0.052067665,0.3619876858,0.2214472336
PDIA2,0.2362170041,0.0472618464,0.0,0.06322537362575531,0.4610614827,0.236868759,0.3351487229,0.390085821,0.2212336262
CLTC,0.199943672,0.0659324325,1.0,0.0,0.0615745678,0.2628946408,0.0,0.1765944111,0.2208674655
MAP2K7,0.3621000037,0.1559223217,0.0,0.3211737275123596,0.3093216796,0.1486794887,0.151523828,0.3146078859,0.2204161169
SEC61G,0.7121307109,0.4404700847,0.0,0.0,0.2415025726,0.2713569262,0.0,0.0892933698,0.219344208
STX10,0.6414854012,0.2455718886,0.0,0.014117464423179626,0.0327564082,0.5073012788,0.035264336,0.2778203303,0.2192896384
UBE2E1,0.0327705137,0.1277226522,0.0,0.007782313507050276,0.6644133984,0.1722549151,0.3406262191,0.3997517103,0.2181652153
ARHGEF2,0.4278263769,0.3833459457,0.0,0.014738427475094795,0.2385759995,0.3407096985,0.041037922,0.2988836713,0.2181397552
TBC1D9,0.2459837044,0.2047404948,0.0,0.025104817003011703,0.1572923349,0.2820314184,0.3549788586,0.4671113175,0.2171553682
RABGAP1,0.5263683161,0.3904490621,0.0,0.0,0.2355342107,0.2744256344,0.0533059175,0.2513419507,0.2164281364
TMED10,0.4774012014,0.1783946922,0.0,0.0,0.3885464396,0.4155935581,0.0,0.2622813299,0.2152771527
SPCS1,0.2264887306,0.2477633016,0.0,0.0,0.4094694186,0.2707957192,0.2420025582,0.3251598027,0.2152099414
RAB5C,0.4669046873,0.1242779481,0.0,0.17861846089363098,0.4455792918,0.332541863,0.0,0.1560846834,0.2130008668
PLAA,0.1965625643,0.2959305586,0.0,0.0,0.2773732116,0.4095607702,0.1148729056,0.3927968301,0.210887105
UBA1,0.3778221077,0.0,0.0,0.1192803606390953,0.5068510662,0.3834868559,0.0283499646,0.2652092651,0.2101249525
GLT1D1,0.6996764096,0.2256976423,0.0,0.09214630722999573,0.3429323965,0.0983851461,0.0,0.2171866453,0.2095030684
CLTA,0.3351358396,0.0608352461,0.0,0.0,0.3230248964,0.3587133913,0.1824207933,0.4041170162,0.2080308979
SEC11C,0.2552581698,0.1634031276,0.0,0.0,0.2398428074,0.59470506,0.0654173464,0.3353069808,0.2067416865
PIGH,0.7590714689,0.4197982577,0.0,0.010106847621500492,0.1253937306,0.2719140011,0.0,0.0635339107,0.2062272771
TBC1D10A,0.1499636805,0.1080791626,0.0,0.0,0.36846431,0.5584781083,0.1541815406,0.3069171883,0.2057604988
GALNT15,0.052953277,0.1395387357,0.0,0.08101069182157516,0.2530657211,0.386480036,0.2670792901,0.461086909,0.2051518326
EXOC7,0.2438271895,0.1874367533,0.0,0.16011719405651093,0.2359056326,0.3741749393,0.1478564813,0.291211386,0.205066197
SEC61A2,0.2889391279,0.1997254093,0.0,0.0,0.4697453496,0.2110760841,0.1570573244,0.3105818173,0.2046406391
B4GALT1,0.270006025,0.270150873,0.0,0.0776805728673935,0.2579596507,0.2896882368,0.208038749,0.2563274473,0.2037314443
MICAL1,0.3670489771,0.0,0.0,0.3934246599674225,0.2409636458,0.2502298154,0.0817837976,0.2954466122,0.2036121885
RABEP1,0.4547895021,0.1539836779,0.0,0.028419405221939087,0.136159317,0.3039665998,0.183032816,0.3639736391,0.2030406196
IFT27,0.3472935702,0.1174347632,0.0,0.0,0.2342036991,0.4160245427,0.143407444,0.3648666273,0.2029038308
GGA2,0.3850451655,0.0,0.0,0.0017186285695061088,0.2534934532,0.3164879455,0.2655028611,0.3993063478,0.2026943002
