GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
RAB4A,0.1414746415,0.0,0.0,0.18902558088302612,0.1005936914,0.609870717,0.2812488486,0.5542918037,0.2345631604
EVI5L,0.2859391825,0.029749338,0.0,0.0,0.5280419629,0.5030494066,0.0304690632,0.4727441606,0.2312491392
SEC13,0.3268293243,0.0948711995,1.0,0.0939713567495346,0.0892867315,0.0483133051,0.0536234064,0.1424089977,0.2311630402
GGA3,0.2011016826,0.0553430872,0.0,0.0,0.4448243249,0.551966801,0.1576424567,0.4095442825,0.2275528294
HSP90AA1,0.1363467596,0.2483896085,1.0,0.0,0.0138286265,0.2122858792,0.0,0.2074760046,0.2272908598
RAB43,0.0765684557,0.0490414784,0.0,0.02738725207746029,0.6591033328,0.4498682827,0.1424980868,0.4005315888,0.2256248097
USE1,0.2885861409,0.2085413468,0.0,0.01190277375280857,0.4222906234,0.4359250319,0.0967947248,0.3339284793,0.2247461401
MICALCL,0.08434025,0.3063127135,0.0,0.00828772783279419,0.270798356,0.4822834157,0.209854963,0.4350609837,0.2246173012
EXOC3,0.2167179398,0.0705604047,0.0,0.003461631713435054,0.4567371243,0.367944573,0.2006536006,0.4647110649,0.2225982924
RAB11A,0.1462824779,0.0570556783,0.0,0.024784980341792107,0.5606948528,0.4006517952,0.2375327038,0.3516074186,0.2223262384
SEL1L,0.0763878508,0.0,0.0,0.0,0.1195517497,0.6264784339,0.3990891137,0.5446852274,0.2207740469
UBXN6,0.112840392,0.0345830826,0.0,0.07245233654975891,0.5935490072,0.5111211327,0.0603339758,0.3709957331,0.2194844575
RAB32,0.0884760348,0.0601128481,0.0,0.23109281063079834,0.2158480432,0.5486876391,0.1196223293,0.472185019,0.2170030905
STX19,0.0982417965,0.0916176208,0.0,0.0,0.257821586,0.3715791566,0.3418011804,0.5703441443,0.2164256856
VTI1B,0.117655261,0.0717875291,0.0,0.04650544375181198,0.3479922497,0.3925676312,0.2978126471,0.4567596449,0.2163850508
STX2,0.088846498,0.1654850673,0.0,0.009701867587864399,0.1934583284,0.5695949442,0.2886323506,0.4098439463,0.2156953753
DPM3,0.092659614,0.1558136973,0.0,0.10632485151290894,0.2077751442,0.3898794567,0.2951930936,0.4694025434,0.2146310501
UBE2J1,0.1042759784,0.1242576041,1.0,0.04528346657752991,0.1748523604,0.0498195114,0.0,0.2176116523,0.2145125716
USP6NL,0.1543283436,0.1855816595,0.0,0.012217994779348373,0.3871090279,0.5687297426,0.0020740528,0.4021058185,0.21401833
EDEM1,0.0819805144,0.1056530163,0.0,0.04735233634710312,0.3151640522,0.5315306332,0.1952857778,0.4180749835,0.2118801642
OPTN,0.2640096981,0.107766754,0.0,0.010356766171753407,0.2266509359,0.3619184073,0.2753808014,0.4457308823,0.2114767806
RAB20,0.0906434245,0.0,0.0,0.09489066153764725,0.3006655147,0.41076298,0.3576958597,0.4347500555,0.211176062
SEC31B,0.1432973131,0.05625225,1.0,0.028457650914788246,0.1269742093,0.0729778058,0.0007102975,0.2572589612,0.210741061
GGA1,0.0717878887,0.0796640897,0.0,0.07629356533288956,0.6713848549,0.4673408157,0.0,0.314976145,0.2101809199
LARGE2,0.2368308332,0.2613389468,0.0,0.006419509183615446,0.1841191319,0.2815335518,0.2587624715,0.444105379,0.2091387279
RAB1A,0.0572251986,0.0,0.0,0.11730126291513443,0.7259087556,0.4267729361,0.0180682643,0.3257219755,0.2088747991
EIF2AK4,0.0870705205,0.0404214497,0.0,0.0,0.2906399104,0.468214613,0.3234085665,0.4333161476,0.205383901
PIGS,0.0751347041,0.0,0.0,0.0,0.5438521213,0.5436937805,0.0404842352,0.4384511828,0.205202003
GALNT1,0.0604343824,0.152894766,0.0,0.1435297280550003,0.1724714596,0.5711413484,0.1241111713,0.4119256825,0.2045635673
ALG14,0.1571644872,0.0,1.0,0.052109409123659134,0.1872871307,0.1670356963,0.0,0.0726876454,0.2045355461
SEC16A,0.1446353073,0.0,0.0,0.009020463563501835,0.4684065285,0.4678899723,0.1078005048,0.4355179063,0.2041588353
STX16,0.0602797762,0.0289313631,0.0,0.05462044104933739,0.4835009764,0.3326842841,0.2722396932,0.3979324231,0.2037736196
MICALL2,0.1521751801,0.0811552597,0.0,0.0,0.5253283549,0.4535757437,0.0,0.4027334792,0.2018710022
GALNT3,0.227999725,0.0,0.0,0.0,0.2731267674,0.3549754026,0.1870656015,0.5691385349,0.2015382539
STX11,0.1458268571,0.0730349865,0.0,0.0,0.2454172036,0.4223119957,0.2224463925,0.5009593766,0.2012496015
ARAP2,0.0953980268,0.0732984475,0.0,0.011446704156696796,0.2652107002,0.4060897838,0.2936706468,0.45668401,0.2002247899
RAB30,0.0983123125,0.1236272444,0.0,0.004129623994231224,0.3441690698,0.5525638442,0.0755323602,0.4032031008,0.2001921945
WFS1,0.2720619294,0.1145717474,0.0,0.0987996757030487,0.266981196,0.3098654827,0.1512276892,0.371022188,0.1980662386
WDR38,0.1588791702,0.0,0.0,0.0,0.33638117,0.2982801792,0.3070635369,0.4640073241,0.1955764226
PARK2,0.14763879,0.1337672492,0.0,0.030623478814959526,0.1604176766,0.445784344,0.1620788885,0.484189315,0.1955624678
ARF3,0.1240455547,0.1101252839,0.0,0.0,0.4639516258,0.3618881387,0.1450871122,0.3520084199,0.1946382669
GALNT2,0.079624243,0.0776432001,0.0,0.0,0.2442929974,0.5644542929,0.1554404544,0.4285715431,0.1937533414
GGA2,0.3848639162,0.4382189925,0.0,0.012750995345413685,0.0445404341,0.4833423644,0.0,0.1756230376,0.1924174675
SGSM1,0.156910305,0.0721270373,0.0,0.0,0.4691522799,0.1978516771,0.2561315413,0.3867480469,0.1923651109
TBC1D13,0.125978746,0.12833824,0.0,0.0,0.3831985603,0.2802715775,0.1577672821,0.4633551658,0.1923636965
PRKCSH,0.1738077125,0.1993337811,0.0,0.0,0.3005396548,0.300264,0.2078579403,0.3280041989,0.188725911
HSPBP1,0.0273685733,0.0,0.0,0.08251194655895233,0.4717783312,0.3830411504,0.1738355123,0.3635491968,0.1877605888
AP3S1,0.0832518364,0.0454875131,1.0,0.0,0.0210874639,0.2426800526,0.0,0.1061331517,0.1873300022
BET1,0.208129177,0.1585024783,0.0,0.0,0.3198636855,0.1578193061,0.2634618614,0.390162016,0.1872423155
INPP5E,0.1012797261,0.083448754,0.0,0.0,0.3207390634,0.3429714196,0.2426786145,0.3877405987,0.184857272
DERL3,0.220130973,0.2687340245,0.0,0.0,0.0725570656,0.3027144778,0.1649673109,0.4420387278,0.1838928224
DNAJB2,0.257443115,0.0564788404,0.0,0.0,0.1516744479,0.2926174399,0.2904415983,0.4216260401,0.1837851852
UBE2D4,0.218149735,0.0164928506,0.0,0.019865769892930984,0.3215632671,0.4478673966,0.0932268555,0.3419870221,0.1823941121
NPLOC4,0.0912870574,0.0277986126,0.0,0.0,0.4803175759,0.5179827189,0.0,0.3346770139,0.1815078723
TBC1D10C,0.6114459039,0.039187427,0.0,0.0,0.2277225998,0.2332803034,0.0346792515,0.2991633594,0.1806848556
VAMP3,0.2307141338,0.0588951928,0.0,0.0019271535566076636,0.3846676003,0.4325581828,0.0,0.334902645,0.1804581135
ERP29,0.1219766245,0.1037763873,0.0,0.1730128526687622,0.2585369435,0.1161459927,0.2939638727,0.3744863695,0.1802373804
ATF6,0.0387095345,0.0179374926,0.0,0.0,0.6354897948,0.3625927559,0.006970541,0.3683482656,0.178756048
SEC61A1,0.2334428957,0.0973252897,0.0,0.09004593640565872,0.4759874524,0.1670245669,0.0543782859,0.3041148342,0.1777899077
RAB6A,0.0848936021,0.0542720594,0.0,0.010081194341182709,0.1968343722,0.4267066412,0.2405494995,0.3953586238,0.1760869991
GPAA1,0.1381017427,0.0679350511,0.0,0.0757882297039032,0.0284740119,0.4411398812,0.2363253157,0.4169832303,0.1755934328
PIK3CA,0.0830905737,0.0176866888,0.0,0.10029435157775879,0.1703863944,0.3886973843,0.2524024065,0.3875262091,0.175010501
ARHGAP5,0.1057214719,0.0785830346,0.0,0.0,0.3524077739,0.1778722127,0.2797073705,0.4018538906,0.1745182193
RAB8A,0.026488176,0.0171748244,0.0,0.14084401726722717,0.5121602465,0.4010109908,0.0,0.2954190708,0.1741371657
REPIN1,0.0431055029,0.1460712389,0.0,0.0,0.1840195196,0.5980894535,0.0574857597,0.3633463298,0.1740147256
NAPG,0.1105224844,0.0359708655,1.0,0.003481263527646661,0.0382735772,0.0559266642,0.0003243594,0.1462716987,0.1738463641
OS9,0.0686495046,0.0,0.0,0.026689574122428894,0.5017256823,0.4305268215,0.0,0.3436707413,0.1714077905
UBE2D3,0.1478451828,0.0508922975,0.0,0.0,0.6362332383,0.2857483199,0.0,0.2223626063,0.1678852056
RPN2,0.076735739,0.0660498611,0.0,0.0,0.3699287376,0.5695385915,0.0,0.2584320456,0.1675856218
DNAJB9,0.2704577402,0.0,0.0,0.004870911594480276,0.2289714618,0.3536878213,0.1534202303,0.3266980615,0.1672632783
ALG11,0.0560450946,0.0,0.0,0.063963383436203,0.6088698218,0.2705192744,0.0709332119,0.2531865531,0.1654396674
INPP5B,0.27741054,0.0734700075,0.0,0.11736638844013214,0.4323034332,0.2308781766,0.0,0.1899663634,0.1651743636
AMFR,0.2308325517,0.2060309384,0.0,0.4402134120464325,0.1265010199,0.1791751919,0.0,0.1346541036,0.1646759022
PIGU,0.0634251268,0.0291102798,0.0,0.009774690493941307,0.430948317,0.2520443287,0.143772884,0.3812375868,0.1637891517
CYTH4,0.042625479,0.0493343791,0.0,0.014888417907059193,0.1168795322,0.3841062063,0.2390461271,0.4593423122,0.1632778067
RAB3B,0.1941734777,0.2135997078,0.0,0.13738226890563965,0.0790443461,0.1586453256,0.2094385835,0.3124563605,0.1630925088
YKT6,0.0427733027,0.5300878472,0.0,0.07896331697702408,0.2222854541,0.2090195834,0.0,0.2078820052,0.1613764387
ATF6B,0.1799466728,0.0128781998,0.0,0.0,0.2045359915,0.4800358686,0.0632239725,0.3313284297,0.1589936419
SYVN1,0.0418757059,0.1875029756,0.0,0.019029488787055016,0.3227543242,0.3636680727,0.0,0.3366951276,0.1589407118
RAB34,0.224802107,0.1315156609,0.0,0.0,0.3330229773,0.1885017169,0.0367617312,0.3466542133,0.1576573008
UBE2D2,0.4524973483,0.0189443887,0.0,0.02078132890164852,0.3931389076,0.2032387108,0.0,0.1657743403,0.1567968781
GALNT12,0.146569103,0.0,0.0,0.1364910900592804,0.0781539442,0.351994481,0.1770723308,0.3635742609,0.1567319012
STX3,0.2892927434,0.1369496222,0.0,0.0,0.0750460633,0.4547507066,0.0110050116,0.2861927008,0.156654606
RBX1,0.2188635963,0.2036697571,0.0,0.009210116229951382,0.277889184,0.2121867514,0.083985495,0.2429753299,0.1560975287
PLIN3,0.1886177272,0.0968959173,0.0,0.22182747721672058,0.1570245477,0.3678428182,0.0,0.215016488,0.155903122
DNAJB1,0.0656338933,0.0,0.0,0.0,0.3024218386,0.513051256,0.036046773,0.3257156039,0.1553586706
TBC1D8,0.1080525808,0.097084593,0.0,0.025424057617783546,0.1185407891,0.303039109,0.1295196945,0.4481765166,0.1537296676
SSR4,0.1265612213,0.0297802518,0.0,0.04447454214096069,0.3175936993,0.4058488539,0.0890899479,0.2143884592,0.1534671219
SELENOS,0.2398456321,0.0166640456,0.0,0.0,0.3401388988,0.2712767706,0.1010884707,0.2499711065,0.1523731155
PICK1,0.0404446694,0.074815575,0.0,0.01822960004210472,0.2554188248,0.4673516629,0.0936842912,0.2670454615,0.1521237606
LARGE1,0.0800214637,0.0663426781,0.0,0.0,0.1706021852,0.3235064457,0.2376792466,0.334035659,0.1515234598
UBQLNL,0.1118836631,0.0183456209,0.0,0.004107513464987278,0.5222958433,0.4654565296,0.0,0.074625116,0.1495892858
AP1M1,0.0507332256,0.0979069074,0.0,0.0,0.531120779,0.2743304919,0.0,0.2389986681,0.149136259
UBXN2A,0.1466470587,0.0545676878,0.0,0.0,0.3591209719,0.2984895066,0.0497862277,0.2784694053,0.1483851072
CRYAB,0.3665552189,0.1961994203,0.0,0.1873653531074524,0.018728126,0.0553788073,0.1114869402,0.2405029282,0.1470270993
ALG6,0.5044265183,0.0725878146,0.0,0.04535263776779175,0.1495743515,0.289042434,0.0,0.1145239542,0.1469384638
RAB7A,0.0681935222,0.0884280434,0.0,0.19914408028125763,0.3120990359,0.2921127475,0.0,0.2108541572,0.1463539483
TBC1D4,0.0935332781,0.0180294798,0.0,0.0,0.2470905415,0.4151711643,0.0426328778,0.353525176,0.1462478147
CLTC,0.3457557967,0.3303883358,0.0,0.0,0.1857177542,0.1528521062,0.0,0.1531307828,0.145980597
COPZ2,0.179469164,0.5761530066,0.0,0.03967626765370369,0.0,0.2110805083,0.0,0.1600772784,0.1458070281
RAB5C,0.0779914478,0.0884071473,0.0,0.11653394997119904,0.5942444722,0.1057178504,0.0,0.180681898,0.1454470957
NGLY1,0.1901738691,0.4414674491,0.0,0.0,0.2855796714,0.141623238,0.0,0.1045790756,0.1454279129
AGAP1,0.1138039456,0.0421267977,0.0,0.0028001400642096996,0.2203361429,0.4108282481,0.0067997037,0.3617842331,0.1448099014
ARHGEF11,0.0720471843,0.0331495412,0.0,0.004540036898106337,0.0737038554,0.2588701117,0.340570297,0.3659278266,0.1436011066
DNAJC1,0.2441509356,0.1740458845,0.0,0.09585990756750107,0.1270323338,0.0978319725,0.1490760565,0.2548868736,0.1428604955
RAB37,0.0719928816,0.0394718611,0.0,0.05146096646785736,0.1668523534,0.3996362762,0.0934659886,0.3192620894,0.1427678021
SPCS2,0.1292818,0.086207845,0.0,0.0,0.3043323157,0.4282777252,0.0,0.1921708667,0.1425338191
SEC11A,0.0792939672,0.041993395,0.0,0.0,0.2397784813,0.3461655265,0.0984168368,0.3330610298,0.1423386546
SNAP25,0.2220267147,0.053324946,0.0,0.0,0.0870362619,0.194630949,0.2151859514,0.3658734188,0.1422597802
SEC16B,0.195088735,0.0214776712,0.0,0.020330704748630524,0.6019389038,0.1570808932,0.0,0.142011989,0.1422411121
AGR2,0.1414984292,0.4572095819,0.0,0.0,0.0625540442,0.1956687331,0.0570313501,0.2229880826,0.1421187776
ALG1,0.139828263,0.0620994179,0.0,0.02263013646006584,0.2972148015,0.4162084606,0.0,0.1934284247,0.141426188
PGAP1,0.0793854442,0.0,0.0,0.0,0.1315335657,0.4012061929,0.1461473474,0.3690508531,0.1409154254
PIGH,0.0374972846,0.0192734011,0.0,0.0,0.1785546574,0.2758471936,0.2315507988,0.3845024146,0.1409032188
UBE2G1,0.056949426,0.0386345995,0.0,0.0,0.4539279202,0.2845771005,0.0281982808,0.2580131229,0.1400375562
EIF2AK3,0.0676228365,0.1026057001,0.0,0.0,0.3577181851,0.3563667682,0.0,0.231534136,0.1394809532
STX10,0.0848149456,0.0,0.0,0.0,0.3920544163,0.4030607883,0.0,0.2323255127,0.1390319579
HSPA1L,0.0609239121,0.0154714543,0.0,0.005483719520270824,0.2454169535,0.3752862754,0.0532582589,0.3500217016,0.1382327844
TBC1D16,0.2575623643,0.3560409313,0.0,0.02735047973692417,0.0742377925,0.1442096637,0.0307629391,0.2130371002,0.1379001589
VPS45,0.0911715597,0.0167166367,0.0,0.07482369989156723,0.2644353993,0.3962789366,0.0,0.2594875053,0.1378642172
DPM2,0.2005764765,0.1665948113,0.0,0.0,0.2772697919,0.1962051394,0.0,0.2575763552,0.1372778218
JUN,0.1241625847,0.1285993926,0.0,0.049876678735017776,0.2268607688,0.1050599168,0.1281813386,0.3319654114,0.1368382615
PIGQ,0.0544583925,0.0942587236,0.0,0.05940644443035126,0.3421242499,0.3718041891,0.0,0.1708911847,0.136617898
AP3M2,0.2451108305,0.3562931273,0.0,0.06794335693120956,0.123001278,0.1151418748,0.0,0.1835459969,0.1363795581
STX1A,0.177547943,0.0569540858,0.0,0.0,0.0625925796,0.4522085028,0.0589741311,0.2777340148,0.1357514071
GLT8D2,0.2627913862,0.076211863,0.0,0.0,0.1768530662,0.1871023562,0.1035852661,0.2746934739,0.1351546764
POMT2,0.2076724081,0.1449898809,0.0,0.0194438137114048,0.2776648705,0.245029457,0.0,0.1829655035,0.1347207417
RAB11FIP4,0.0898359781,0.0,0.0,0.0,0.2874046693,0.3149413405,0.0657997708,0.3164508698,0.1343040786
STX7,0.1448802366,0.0173616103,0.0,0.25481873750686646,0.5382351707,0.0607933798,0.0,0.0530483358,0.1336421838
KDELR2,0.3559722231,0.5198470285,0.0,0.051463644951581955,0.0688448522,0.0075027904,0.0,0.0651898478,0.1336025484
GANAB,0.097202005,0.1035546895,0.0,0.0,0.1363070821,0.3799811156,0.0292208791,0.3163141406,0.132822489
SPCS1,0.1335611716,0.1622461986,0.0,0.008601958863437176,0.3516724107,0.1207183617,0.07737336,0.2073401237,0.1326891981
STX17,0.2950923154,0.0,0.0,0.0,0.1329523824,0.3626282406,0.0,0.270731134,0.132675509
TMX2,0.1165484547,0.0045498406,0.0,0.0,0.2251777867,0.2864195259,0.1716574039,0.2483116287,0.1315830801
STX5,0.2595826504,0.1314359064,0.0,0.032347455620765686,0.4100925729,0.1051357193,0.0,0.1091827816,0.1309721358
HAS1,0.0496688922,0.3632801377,0.0,0.01740134321153164,0.0631190997,0.0151625925,0.2424817184,0.295061193,0.1307718721
PDIA2,0.1595267955,0.1171204942,0.0,0.4361795485019684,0.0312651176,0.1772519516,0.0,0.1171161776,0.1298075106
RUFY1,0.2364655948,0.005754162,0.0,0.07714422047138214,0.4504242542,0.0598794105,0.0,0.2072257946,0.1296116796
RAB26,0.125725422,0.0186122602,0.0,0.0,0.1132916657,0.2416812555,0.1871011821,0.3457685917,0.1290225472
TRAPPC9,0.0425733362,0.0350789096,0.0,0.09667130559682846,0.0821883138,0.3454512836,0.0982649207,0.3314821988,0.1289637835
RAB2A,0.0383160026,0.0,0.0,0.0941685289144516,0.3406470505,0.3463661248,0.0,0.2065167831,0.1282518112
UBE2D1,0.0752490558,0.0,0.0,0.04796602204442024,0.3806895192,0.2881179948,0.0,0.2295812001,0.127700474
